route_id,city,road_name,highway,start_lat,start_lng,end_lat,end_lng,length_m,sinuosity,max_heading_change_deg,sv_coverage,status,geometry_wkt
SR_02218,"Kochi, Kerala, India",Pottakuzhi-Mamangalam Road,residential,10.009381599999998,76.3036886,10.009062899999996,76.302831,100.47,1.0007,3.35,,candidate_no_sv_check,"LINESTRING (76.3036886 10.009381599999998, 76.3032876 10.009216099999998, 76.3029255 10.0090907, 76.302831 10.009062899999996)"
SR_02219,"Kochi, Kerala, India",St Francis Xavier's Church Road West,residential,9.986178900000002,76.2892848,9.985378,76.289192,89.15,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2892848 9.986178900000002, 76.289192 9.985378)"
SR_02220,"Kochi, Kerala, India",St Francis Xavier's Church Road West,residential,9.985378,76.289192,9.986178900000002,76.2892848,89.15,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.289192 9.985378, 76.2892848 9.986178900000002)"
SR_02221,"Kochi, Kerala, India",Lisie Pullepady Cross road,residential,9.985378,76.289192,9.985301399999997,76.288036,127.03,1.0001,1.72,,candidate_no_sv_check,"LINESTRING (76.289192 9.985378, 76.2885456 9.9853437, 76.288036 9.985301399999997)"
SR_02222,"Kochi, Kerala, India",,residential,9.9874235,76.2890998,9.987218499999999,76.2883266,87.78,1.0004,3.43,,candidate_no_sv_check,"LINESTRING (76.2890998 9.9874235, 76.2887652 9.9873227, 76.2883266 9.987218499999999)"
SR_02223,"Kochi, Kerala, India",,residential,9.984722,76.2890502,9.983929399999996,76.2888769,89.69,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2890502 9.984722, 76.2888769 9.983929399999996)"
SR_02224,"Kochi, Kerala, India",KJ Augustine Road,residential,9.984722,76.2890502,9.984676699999998,76.288168,97.02,1.0019,7.13,,candidate_no_sv_check,"LINESTRING (76.2890502 9.984722, 76.2887405 9.984720599999998, 76.2884304 9.9847145, 76.288168 9.984676699999998)"
SR_02225,"Kochi, Kerala, India",Lisie Pullepady Cross road,residential,9.985301399999997,76.288036,9.985378,76.289192,127.03,1.0001,1.72,,candidate_no_sv_check,"LINESTRING (76.288036 9.985301399999997, 76.2885456 9.9853437, 76.289192 9.985378)"
SR_02226,"Kochi, Kerala, India",,residential,9.9850654,76.2933415,9.984048899999998,76.293505,113.84,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2933415 9.9850654, 76.293505 9.984048899999998)"
SR_02227,"Kochi, Kerala, India",St Francis Xavier Church Road,tertiary,9.985386800000002,76.294981,9.984636899999998,76.2952166,86.86,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.294981 9.985386800000002, 76.2952166 9.984636899999998)"
SR_02228,"Kochi, Kerala, India",St Francis Xavier Church Road,tertiary,9.985386800000002,76.294981,9.9865365,76.2947181,130.38,1.0001,1.63,,candidate_no_sv_check,"LINESTRING (76.294981 9.985386800000002, 76.2947969 9.986222099999999, 76.2947181 9.9865365)"
SR_02229,"Kochi, Kerala, India",St. Francis Xavier's Church Road West,residential,9.985386800000002,76.294981,9.9851313,76.2938667,125.39,1.0001,2.32,,candidate_no_sv_check,"LINESTRING (76.294981 9.985386800000002, 76.2939958 9.985156100000001, 76.2938667 9.9851313)"
SR_02230,"Kochi, Kerala, India",Link Villge road,residential,9.983929399999996,76.2888769,9.983699300000001,76.2900178,127.64,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2888769 9.983929399999996, 76.2900178 9.983699300000001)"
SR_02231,"Kochi, Kerala, India",,residential,9.983929399999996,76.2888769,9.984722,76.2890502,89.69,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2888769 9.983929399999996, 76.2890502 9.984722)"
SR_02232,"Kochi, Kerala, India",,residential,9.983929399999996,76.2888769,9.982890600000001,76.2886189,118.31,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2888769 9.983929399999996, 76.2886189 9.982890600000001)"
SR_02233,"Kochi, Kerala, India",Link Villge road,residential,9.983699300000001,76.2900178,9.9829458,76.2899159,84.08,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2900178 9.983699300000001, 76.2899159 9.9829458)"
SR_02234,"Kochi, Kerala, India",Link Villge road,residential,9.983699300000001,76.2900178,9.983929399999996,76.2888769,127.64,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2900178 9.983699300000001, 76.2888769 9.983929399999996)"
SR_02235,"Kochi, Kerala, India",,residential,9.982890600000001,76.2886189,9.983929399999996,76.2888769,118.31,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2886189 9.982890600000001, 76.2888769 9.983929399999996)"
SR_02236,"Kochi, Kerala, India",,residential,9.982890600000001,76.2886189,9.9829282,76.2894396,90.1,1.0004,3.89,,candidate_no_sv_check,"LINESTRING (76.2886189 9.982890600000001, 76.2888338 9.982903799999999, 76.2892953 9.982929799999997, 76.2894396 9.9829282)"
SR_02237,"Kochi, Kerala, India",Sivarama Menon Road,tertiary,9.9917053,76.2875394,9.992470199999998,76.2873496,87.18,1.0008,4.5,,candidate_no_sv_check,"LINESTRING (76.2875394 9.9917053, 76.2875363 9.9917159, 76.2874314 9.9920757, 76.2873496 9.992470199999998)"
SR_02238,"Kochi, Kerala, India",,residential,9.997494699999999,76.289774,9.998308099999997,76.2896486,91.22,1.0024,7.9,,candidate_no_sv_check,"LINESTRING (76.289774 9.997494699999999, 76.2897378 9.997917399999995, 76.2896486 9.998308099999997)"
SR_02239,"Kochi, Kerala, India",,residential,9.998308099999997,76.2896486,9.997494699999999,76.289774,91.22,1.0024,7.9,,candidate_no_sv_check,"LINESTRING (76.2896486 9.998308099999997, 76.2897378 9.997917399999995, 76.289774 9.997494699999999)"
SR_02240,"Kochi, Kerala, India",,secondary,9.9735711,76.3160975,9.9747582,76.3154313,150.23,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3160975 9.9735711, 76.3154313 9.9747582)"
SR_02241,"Kochi, Kerala, India",Ponnuruni Temple Road,secondary,9.972284799999999,76.316826,9.9727088,76.3176918,105.87,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.316826 9.972284799999999, 76.3175844 9.9726562, 76.3176918 9.9727088)"
SR_02242,"Kochi, Kerala, India",,residential,9.9720312,76.3169011,9.971774999999997,76.316126,89.58,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3169011 9.9720312, 76.316126 9.971774999999997)"
SR_02243,"Kochi, Kerala, India",Ponnuruni Temple Road,secondary,9.9727088,76.3176918,9.972284799999999,76.316826,105.87,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3176918 9.9727088, 76.3175844 9.9726562, 76.316826 9.972284799999999)"
SR_02244,"Kochi, Kerala, India",Salem - Kochi - Kanyakumari Road,trunk_link,9.9699551,76.3183098,9.9687714,76.3183755,131.11,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3183098 9.9699551, 76.3183755 9.9687714)"
SR_02245,"Kochi, Kerala, India",,residential,9.986839899999998,76.2911792,9.986810900000002,76.2903372,92.36,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2911792 9.986839899999998, 76.2903372 9.986810900000002)"
SR_02246,"Kochi, Kerala, India",Kunnummel Road,residential,10.022936599999998,76.2747804,10.022812900000002,76.274005,86.09,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2747804 10.022936599999998, 76.274005 10.022812900000002)"
SR_02247,"Kochi, Kerala, India",Boat Jetty Road,tertiary,10.023712899999998,76.2706654,10.0245578,76.2703231,100.77,1.0008,6.86,,candidate_no_sv_check,"LINESTRING (76.2706654 10.023712899999998, 76.2703806 10.0244498, 76.2703231 10.0245578)"
SR_02248,"Kochi, Kerala, India",Boat Jetty Road,tertiary,10.0245578,76.2703231,10.0252397,76.2699598,85.28,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2703231 10.0245578, 76.2699598 10.0252397)"
SR_02249,"Kochi, Kerala, India",Boat Jetty Road,tertiary,10.0245578,76.2703231,10.023712899999998,76.2706654,100.77,1.0008,6.86,,candidate_no_sv_check,"LINESTRING (76.2703231 10.0245578, 76.2703806 10.0244498, 76.2706654 10.023712899999998)"
SR_02250,"Kochi, Kerala, India",,residential,10.030460700000003,76.2681524,10.0304887,76.26737880000002,85.02,1.002,7.35,,candidate_no_sv_check,"LINESTRING (76.2681524 10.030460700000003, 76.2679453 10.030457199999999, 76.2676252 10.0304572, 76.26737880000002 10.0304887)"
SR_02251,"Kochi, Kerala, India",ARAVINDAKSHAN LANE,residential,10.002349,76.299508,10.002598999999998,76.3005244,114.8,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.299508 10.002349, 76.3005244 10.002598999999998)"
SR_02252,"Kochi, Kerala, India",ARAVINDAKSHAN LANE,residential,10.002598999999998,76.3005244,10.002349,76.299508,114.8,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3005244 10.002598999999998, 76.299508 10.002349)"
SR_02253,"Kochi, Kerala, India",Banerji Road,primary,10.0008882,76.2998584,10.001352800000001,76.3013312,170.74,1.0077,6.21,,candidate_no_sv_check,"LINESTRING (76.2998584 10.0008882, 76.3000863 10.0010215, 76.3002092 10.0010766, 76.3003246 10.001123299999998, 76.3005106 10.001177199999999, 76.3007056 10.001220199999999, 76.3010677 10.001301700000003, 76.3013312 10.001352800000001)"
SR_02254,"Kochi, Kerala, India",,residential,10.001352800000001,76.3013312,10.002104200000002,76.3012974,83.18,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3013312 10.001352800000001, 76.3012974 10.002104200000002)"
SR_02255,"Kochi, Kerala, India",Banerji Road,primary,9.997668400000002,76.2957034,9.996852,76.2946136,149.75,1.0,0.34,,candidate_no_sv_check,"LINESTRING (76.2957034 9.997668400000002, 76.2954743 9.997495099999998, 76.2946136 9.996852)"
SR_02256,"Kochi, Kerala, India",,residential,9.997285699999999,76.2957868,9.997549999999997,76.2968567,120.89,1.0002,2.02,,candidate_no_sv_check,"LINESTRING (76.2957868 9.997285699999999, 76.2963942 9.997445499999998, 76.2968567 9.997549999999997)"
SR_02257,"Kochi, Kerala, India",,residential,9.997549999999997,76.2968567,9.997285699999999,76.2957868,120.89,1.0002,2.02,,candidate_no_sv_check,"LINESTRING (76.2968567 9.997549999999997, 76.2963942 9.997445499999998, 76.2957868 9.997285699999999)"
SR_02258,"Kochi, Kerala, India",,residential,9.996504900000001,76.2960656,9.996910199999999,76.2971198,123.95,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2960656 9.996504900000001, 76.2971198 9.996910199999999)"
SR_02259,"Kochi, Kerala, India",Puthezhath 5th Avenue,residential,9.9906823,76.2958081,9.989810200000003,76.2960725,100.92,1.0021,5.2,,candidate_no_sv_check,"LINESTRING (76.2958081 9.9906823, 76.295872 9.990391399999998, 76.2959484 9.990127299999997, 76.2960725 9.989810200000003)"
SR_02260,"Kochi, Kerala, India",,residential,9.992382300000001,76.2961077,9.9925769,76.296918,91.43,1.0004,3.07,,candidate_no_sv_check,"LINESTRING (76.2961077 9.992382300000001, 76.2964433 9.992464999999997, 76.2966681 9.992510999999999, 76.2967904 9.9925397, 76.296918 9.9925769)"
SR_02261,"Kochi, Kerala, India",,residential,9.992068,76.2961358,9.992264,76.29699470000001,96.62,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2961358 9.992068, 76.29699470000001 9.992264)"
SR_02262,"Kochi, Kerala, India",,residential,9.9925769,76.296918,9.992382300000001,76.2961077,91.43,1.0004,3.07,,candidate_no_sv_check,"LINESTRING (76.296918 9.9925769, 76.2967904 9.9925397, 76.2966681 9.992510999999999, 76.2964433 9.992464999999997, 76.2961077 9.992382300000001)"
SR_02263,"Kochi, Kerala, India",,residential,9.992264,76.29699470000001,9.992068,76.2961358,96.62,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.29699470000001 9.992264, 76.2961358 9.992068)"
SR_02264,"Kochi, Kerala, India",connection road,residential,9.994660600000001,76.2986483,9.9945129,76.2978784,86.12,1.0018,5.09,,candidate_no_sv_check,"LINESTRING (76.2986483 9.994660600000001, 76.2984502 9.994604, 76.2981552 9.9945472, 76.2978784 9.9945129)"
SR_02265,"Kochi, Kerala, India",,residential,9.9953716,76.29942,9.996165399999997,76.299248,89.79,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.29942 9.9953716, 76.299248 9.996165399999997)"
SR_02266,"Kochi, Kerala, India",Tagore Road,secondary,9.935782699999999,76.2615479,9.936667699999997,76.2611809,105.82,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2615479 9.935782699999999, 76.2611809 9.936667699999997)"
SR_02267,"Kochi, Kerala, India",Tagore Road,secondary,9.936667699999997,76.2611809,9.935782699999999,76.2615479,105.82,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.2611809 9.936667699999997, 76.2615479 9.935782699999999)"
SR_02268,"Kochi, Kerala, India",,residential,9.957132399999999,76.318656,9.9549628,76.3186915,239.97,1.0,0.24,,candidate_no_sv_check,"LINESTRING (76.318656 9.957132399999999, 76.3186782 9.9557793, 76.318687 9.9552403, 76.3186914 9.954967699999994, 76.3186915 9.9549628)"
SR_02269,"Kochi, Kerala, India",,residential,9.9573592,76.3193747,9.958179600000001,76.3191235,94.82,1.0,0.0,,candidate_no_sv_check,"LINESTRING (76.3193747 9.9573592, 76.3191235 9.958179600000001)"
